burst_num,i,burst_pairs,offsets,delays,min_offset,min_delay,T1,T2,T3,T4
11,7,117,0.055414,0.055743,0.055456,0.0548,3888347965.2965603,3888347965.3798456,3888347965.380003,3888347965.352461
12,0,120,0.074467,0.076723,0.065312,0.058147,3888348204.8631372,3888348204.975966,3888348204.9760613,3888348204.9399557
12,1,121,0.066132,0.058888,0.065312,0.058147,3888348204.9400043,3888348205.03558,3888348205.0356517,3888348204.9989643
12,2,122,0.066541,0.062808,0.065312,0.058147,3888348204.998983,3888348205.096928,3888348205.0972443,3888348205.062107
12,3,123,0.065129,0.060841,0.065312,0.058147,3888348205.062149,3888348205.157698,3888348205.157737,3888348205.1230288
12,4,124,0.065893,0.0588,0.065312,0.058147,3888348205.123082,3888348205.218375,3888348205.2184277,3888348205.1819344
12,5,125,0.065312,0.058147,0.065312,0.058147,3888348205.181965,3888348205.276351,3888348205.276417,3888348205.240178
12,6,126,0.065717,0.059885,0.065312,0.058147,3888348205.2402506,3888348205.33591,3888348205.3359227,3888348205.300148
12,7,127,0.065701,0.058883,0.065312,0.058147,3888348205.300232,3888348205.395374,3888348205.395459,3888348205.3592
13,0,130,0.069067,0.075346,0.058216,0.049836,3888348444.86309,3888348444.96983,3888348444.969864,3888348444.93847
13,1,131,0.056859,0.051054,0.058216,0.049836,3888348444.9385004,3888348445.0208864,3888348445.020914,3888348444.989582
13,2,132,0.059068,0.053206,0.058216,0.049836,3888348444.989601,3888348445.0752726,3888348445.0753083,3888348445.042843
13,3,133,0.058216,0.049836,0.058216,0.049836,3888348445.042871,3888348445.1260047,3888348445.12604,3888348445.092742
13,4,134,0.05803,0.050985,0.058216,0.049836,3888348445.092761,3888348445.1762834,3888348445.1762958,3888348445.143759
13,5,135,0.057246,0.050583,0.058216,0.049836,3888348445.1438007,3888348445.2263384,3888348445.2263494,3888348445.194395
13,6,136,0.059087,0.051289,0.058216,0.049836,3888348445.194437,3888348445.2791686,3888348445.2792044,3888348445.245762
13,7,137,0.063516,0.062027,0.058216,0.049836,3888348445.245786,3888348445.3403153,3888348445.34034,3888348445.307838
